Variable:,tas
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1980,-0.16,-2.98,-3.53,0.76,-1.42,-0.94,-0.19,3.95,1.84,0.07,1.65,-2.29,-0.95,-6.20,5.31,-1.50,1.41,-1.28,0.60,-1.78,-2.61,-3.64,-4.82
1981,-0.31,-3.47,-3.83,0.27,-1.66,-0.66,0.35,3.90,1.91,0.39,1.04,-1.71,-1.47,-6.57,5.09,-1.65,1.08,-1.01,0.85,-1.52,-2.22,-4.09,-5.42
1982,0.70,-2.50,-2.42,1.31,-0.77,-0.11,1.22,4.91,2.78,1.14,2.21,-1.07,-0.02,-5.53,6.05,-0.72,2.01,-0.46,1.76,-0.83,-1.64,-2.55,-4.04
1983,0.10,-3.32,-3.25,0.53,-1.34,-0.25,0.90,4.56,2.33,0.77,1.38,-1.31,-0.90,-6.16,5.44,-1.25,1.28,-0.64,1.45,-1.19,-1.95,-3.53,-5.00
1984,-1.16,-4.24,-5.31,-0.85,-2.05,-1.33,-0.50,3.39,1.12,-0.42,-0.06,-2.71,-2.60,-6.90,4.25,-2.03,0.05,-1.70,0.12,-2.29,-3.04,-4.99,-6.22
1985,-0.73,-3.66,-4.22,0.01,-1.84,-1.21,-0.40,3.20,1.22,-0.48,0.95,-2.73,-1.55,-6.58,4.64,-1.84,0.65,-1.59,-0.03,-2.23,-3.01,-4.09,-5.39
1986,-0.02,-2.90,-3.62,0.85,-1.17,-0.34,0.60,3.68,1.86,0.22,1.70,-1.83,-1.03,-6.00,5.27,-1.12,1.53,-0.70,0.68,-1.45,-2.23,-3.56,-4.71
1987,-0.11,-2.87,-3.32,0.84,-1.14,-0.85,-0.41,3.71,1.66,-0.28,1.78,-2.64,-0.63,-5.82,5.37,-1.18,1.35,-1.20,0.25,-1.89,-2.77,-3.05,-4.36
1988,0.09,-2.94,-3.42,0.62,-1.11,-0.40,0.84,4.13,1.82,0.30,1.65,-1.68,-0.80,-5.74,5.21,-1.07,1.25,-0.73,1.24,-1.52,-2.25,-3.23,-4.49
1989,0.96,-2.07,-2.40,1.69,-0.47,0.20,1.36,5.16,3.01,1.43,2.53,-0.91,-0.02,-5.16,6.27,-0.39,2.43,-0.13,1.93,-0.51,-1.22,-2.36,-3.64
